HEADER_TIME_STAMP,START_TIME,STOP_TIME,LABEL_NAME,LABEL_ID,RATING_TIME_STAMP,RATING_INTENSITY,RATING_CONFIDENCE
2015-11-19 17:00:05.534,2015-11-19 17:00:00.000,2015-11-19 17:00:05.517,Telling Story,l13011419151518,2015-11-19 16:58:23.666,,
2015-11-19 17:00:09.404,2015-11-19 17:00:00.000,2015-11-19 17:00:09.387,Sitting,l13011419151518,2015-11-19 16:57:31.746,,
2015-11-19 17:02:43.310,2015-11-19 17:00:09.409,2015-11-19 17:02:43.305,Reclining,l13011419151518,2015-11-19 17:00:09.409,,
2015-11-19 17:02:43.318,2015-11-19 17:00:10.489,2015-11-19 17:02:43.305,Texting,l13011419151518,2015-11-19 17:00:10.489,,
2015-11-19 17:02:43.329,2015-11-19 17:00:46.670,2015-11-19 17:02:43.305,Web Browsing,l13011419151518,2015-11-19 17:00:46.670,,
2015-11-19 17:06:16.995,2015-11-19 17:02:46.722,2015-11-19 17:06:16.976,Biking,l13011419151518,2015-11-19 17:02:46.722,,
2015-11-19 17:06:17.026,2015-11-19 17:02:50.958,2015-11-19 17:06:16.976,Stationary,l13011419151518,2015-11-19 17:02:50.958,,
2015-11-19 17:08:29.508,2015-11-19 17:07:03.638,2015-11-19 17:08:29.504,1 mph,l13011419151518,2015-11-19 17:07:03.638,,
2015-11-19 17:10:00.196,2015-11-19 17:07:17.593,2015-11-19 17:10:00.191,Arms On Desk,l13011419151518,2015-11-19 17:07:17.593,,
2015-11-19 17:10:00.940,2015-11-19 17:08:29.511,2015-11-19 17:10:00.935,2 mph,l13011419151518,2015-11-19 17:08:29.511,,
2015-11-19 17:11:38.549,2015-11-19 17:10:01.489,2015-11-19 17:11:38.544,3.5 mph,l13011419151518,2015-11-19 17:10:01.489,,
2015-11-19 17:13:49.881,2015-11-19 17:11:50.310,2015-11-19 17:13:49.875,Bag,l13011419151518,2015-11-19 17:11:50.310,,
2015-11-19 17:14:09.041,2015-11-19 17:13:51.427,2015-11-19 17:14:09.035,Texting,l13011419151518,2015-11-19 17:13:51.427,,
2015-11-19 17:15:48.859,2015-11-19 17:14:08.393,2015-11-19 17:15:48.853,Phone Talking,l13011419151518,2015-11-19 17:14:08.393,,
2015-11-19 17:16:38.955,2015-11-19 17:15:52.084,2015-11-19 17:16:38.946,Phone Talking,l13011419151518,2015-11-19 17:15:52.084,,
2015-11-19 17:18:07.648,2015-11-19 17:16:40.096,2015-11-19 17:18:07.644,Telling Story,l13011419151518,2015-11-19 17:16:40.096,,
2015-11-19 17:19:21.704,2015-11-19 17:18:12.773,2015-11-19 17:19:21.700,Carrying Drinking,l13011419151518,2015-11-19 17:18:12.773,,
2015-11-19 17:19:35.648,2015-11-19 17:11:38.552,2015-11-19 17:19:35.643,3 mph,l13011419151518,2015-11-19 17:11:38.552,,
2015-11-19 17:19:39.166,2015-11-19 17:07:01.021,2015-11-19 17:19:39.162,Walking,l13011419151518,2015-11-19 17:07:01.021,,
2015-11-19 17:21:31.840,2015-11-19 17:19:35.651,2015-11-19 17:21:31.833,5.5 mph 5%grade,l13011419151518,2015-11-19 17:19:35.651,,
2015-11-19 17:21:32.853,2015-11-19 17:20:28.587,2015-11-19 17:21:32.849,Telling Story,l13011419151518,2015-11-19 17:20:28.587,,
2015-11-19 17:21:47.980,2015-11-19 17:07:02.476,2015-11-19 17:21:47.974,Treadmill,l13011419151518,2015-11-19 17:07:02.476,,
2015-11-19 17:21:47.987,2015-11-19 17:19:39.500,2015-11-19 17:21:47.974,Jog/Running,l13011419151518,2015-11-19 17:19:39.500,,
