HEADER_TIME_STAMP,START_TIME,STOP_TIME,LABEL_NAME
2015-10-16 11:00:55.000,2015-10-16 11:00:00.000,2015-10-16 11:00:55.000,Outdoors
2015-10-16 11:00:55.000,2015-10-16 11:00:00.000,2015-10-16 11:00:55.000,Walking
2015-10-16 11:00:55.000,2015-10-16 11:00:00.000,2015-10-16 11:00:55.000,Telling Story
2015-10-16 11:00:56.000,2015-10-16 11:00:55.000,2015-10-16 11:00:56.000,Outdoors
2015-10-16 11:00:56.000,2015-10-16 11:00:55.000,2015-10-16 11:00:56.000,Walking
2015-10-16 11:00:56.000,2015-10-16 11:00:55.000,2015-10-16 11:00:56.000,Telling Story
2015-10-16 11:01:00.000,2015-10-16 11:00:56.000,2015-10-16 11:01:00.000,Walking
2015-10-16 11:01:00.000,2015-10-16 11:00:56.000,2015-10-16 11:01:00.000,Telling Story
2015-10-16 11:01:01.000,2015-10-16 11:01:00.000,2015-10-16 11:01:01.000,Walking
2015-10-16 11:01:01.000,2015-10-16 11:01:00.000,2015-10-16 11:01:01.000,Telling Story
2015-10-16 11:01:01.000,2015-10-16 11:01:00.000,2015-10-16 11:01:01.000,Escalator
2015-10-16 11:01:03.000,2015-10-16 11:01:01.000,2015-10-16 11:01:03.000,Telling Story
2015-10-16 11:01:03.000,2015-10-16 11:01:01.000,2015-10-16 11:01:03.000,Escalator
2015-10-16 11:01:03.000,2015-10-16 11:01:01.000,2015-10-16 11:01:03.000,Standing
2015-10-16 11:01:24.000,2015-10-16 11:01:03.000,2015-10-16 11:01:24.000,Telling Story
2015-10-16 11:01:24.000,2015-10-16 11:01:03.000,2015-10-16 11:01:24.000,Escalator
2015-10-16 11:01:24.000,2015-10-16 11:01:03.000,2015-10-16 11:01:24.000,Standing
2015-10-16 11:01:24.000,2015-10-16 11:01:03.000,2015-10-16 11:01:24.000,Up
2015-10-16 11:01:26.000,2015-10-16 11:01:25.000,2015-10-16 11:01:26.000,Walking
2015-10-16 11:01:28.000,2015-10-16 11:01:26.000,2015-10-16 11:01:28.000,Walking
