HEADER_TIME_STAMP,START_TIME,STOP_TIME,LABEL_NAME
2015-09-24 14:35:27.000,2015-09-24 14:35:07.000,2015-09-24 14:35:27.000,Still
2015-09-24 14:35:35.000,2015-09-24 14:35:27.000,2015-09-24 14:35:35.000,Jumping Jacks
2015-09-24 14:36:08.000,2015-09-24 14:35:36.000,2015-09-24 14:36:08.000,Still
2015-09-24 14:36:32.000,2015-09-24 14:36:28.000,2015-09-24 14:36:32.000,Still
2015-09-24 14:36:41.000,2015-09-24 14:36:32.000,2015-09-24 14:36:41.000,Jumping Jacks
2015-09-24 14:37:10.000,2015-09-24 14:36:41.000,2015-09-24 14:37:10.000,Still
2015-09-24 14:37:42.000,2015-09-24 14:37:40.000,2015-09-24 14:37:42.000,Still
2015-09-24 14:37:52.000,2015-09-24 14:37:42.000,2015-09-24 14:37:52.000,Jumping Jacks
2015-09-24 14:38:19.000,2015-09-24 14:37:52.000,2015-09-24 14:38:19.000,Still
2015-09-24 14:39:16.000,2015-09-24 14:39:13.000,2015-09-24 14:39:16.000,Still
2015-09-24 14:39:26.000,2015-09-24 14:39:16.000,2015-09-24 14:39:26.000,Jumping Jacks
2015-09-24 14:39:32.000,2015-09-24 14:39:26.000,2015-09-24 14:39:32.000,Still
2015-09-24 14:42:33.000,2015-09-24 14:42:30.000,2015-09-24 14:42:33.000,Sitting
2015-09-24 14:42:39.000,2015-09-24 14:42:38.000,2015-09-24 14:42:39.000,Sitting
2015-09-24 14:44:02.000,2015-09-24 14:42:39.000,2015-09-24 14:44:02.000,Sitting
2015-09-24 14:44:02.000,2015-09-24 14:42:39.000,2015-09-24 14:44:02.000,Writing
2015-09-24 14:44:30.000,2015-09-24 14:44:21.000,2015-09-24 14:44:30.000,Sitting
2015-09-24 14:44:39.000,2015-09-24 14:44:30.000,2015-09-24 14:44:39.000,Reclining
2015-09-24 14:45:50.000,2015-09-24 14:44:39.000,2015-09-24 14:45:50.000,Reclining
2015-09-24 14:45:50.000,2015-09-24 14:44:39.000,2015-09-24 14:45:50.000,Telling Story
2015-09-24 14:46:29.000,2015-09-24 14:45:57.000,2015-09-24 14:46:29.000,Standing
2015-09-24 14:46:50.000,2015-09-24 14:46:29.000,2015-09-24 14:46:50.000,Standing
2015-09-24 14:46:50.000,2015-09-24 14:46:29.000,2015-09-24 14:46:50.000,Telling Story
2015-09-24 14:47:39.000,2015-09-24 14:46:54.000,2015-09-24 14:47:39.000,Standing
2015-09-24 14:47:47.000,2015-09-24 14:47:39.000,2015-09-24 14:47:47.000,Standing
2015-09-24 14:47:47.000,2015-09-24 14:47:39.000,2015-09-24 14:47:47.000,Arms On Desk
2015-09-24 14:49:04.000,2015-09-24 14:47:47.000,2015-09-24 14:49:04.000,Standing
2015-09-24 14:49:04.000,2015-09-24 14:47:47.000,2015-09-24 14:49:04.000,Arms On Desk
2015-09-24 14:49:04.000,2015-09-24 14:47:47.000,2015-09-24 14:49:04.000,Web Browsing
2015-09-24 14:50:11.000,2015-09-24 14:50:10.000,2015-09-24 14:50:11.000,Standing
2015-09-24 14:50:16.000,2015-09-24 14:50:11.000,2015-09-24 14:50:16.000,Walking
2015-09-24 14:50:38.000,2015-09-24 14:50:16.000,2015-09-24 14:50:38.000,Standing
2015-09-24 14:50:38.000,2015-09-24 14:50:16.000,2015-09-24 14:50:38.000,Elevator
2015-09-24 14:50:38.000,2015-09-24 14:50:16.000,2015-09-24 14:50:38.000,down
2015-09-24 14:50:39.000,2015-09-24 14:50:38.000,2015-09-24 14:50:39.000,Elevator
2015-09-24 14:50:39.000,2015-09-24 14:50:38.000,2015-09-24 14:50:39.000,Walking
2015-09-24 14:50:46.000,2015-09-24 14:50:39.000,2015-09-24 14:50:46.000,Walking
2015-09-24 14:55:12.000,2015-09-24 14:50:46.000,2015-09-24 14:55:12.000,Walking
2015-09-24 14:55:12.000,2015-09-24 14:50:46.000,2015-09-24 14:55:12.000,Telling Story
2015-09-24 14:55:14.000,2015-09-24 14:55:12.000,2015-09-24 14:55:14.000,Standing
2015-09-24 14:55:14.000,2015-09-24 14:55:12.000,2015-09-24 14:55:14.000,Telling Story
2015-09-24 14:55:50.000,2015-09-24 14:55:14.000,2015-09-24 14:55:50.000,Standing
2015-09-24 14:55:50.000,2015-09-24 14:55:14.000,2015-09-24 14:55:50.000,Stop Light
2015-09-24 14:55:50.000,2015-09-24 14:55:14.000,2015-09-24 14:55:50.000,Telling Story
2015-09-24 14:55:51.000,2015-09-24 14:55:50.000,2015-09-24 14:55:51.000,Stop Light
2015-09-24 14:55:51.000,2015-09-24 14:55:50.000,2015-09-24 14:55:51.000,Telling Story
2015-09-24 14:55:51.000,2015-09-24 14:55:50.000,2015-09-24 14:55:51.000,Walking
2015-09-24 14:57:11.000,2015-09-24 14:55:51.000,2015-09-24 14:57:11.000,Telling Story
2015-09-24 14:57:11.000,2015-09-24 14:55:51.000,2015-09-24 14:57:11.000,Walking
2015-09-24 14:57:21.000,2015-09-24 14:57:12.000,2015-09-24 14:57:21.000,Standing
2015-09-24 14:57:31.000,2015-09-24 14:57:21.000,2015-09-24 14:57:31.000,Standing
2015-09-24 14:57:31.000,2015-09-24 14:57:21.000,2015-09-24 14:57:31.000,outdoor
2015-09-24 14:57:37.000,2015-09-24 14:57:35.000,2015-09-24 14:57:37.000,Walking
2015-09-24 14:57:38.000,2015-09-24 14:57:37.000,2015-09-24 14:57:38.000,Outdoors
2015-09-24 14:57:38.000,2015-09-24 14:57:37.000,2015-09-24 14:57:38.000,Walking
2015-09-24 14:57:47.000,2015-09-24 14:57:38.000,2015-09-24 14:57:47.000,Outdoors
2015-09-24 14:57:47.000,2015-09-24 14:57:38.000,2015-09-24 14:57:47.000,Walking
2015-09-24 14:57:47.000,2015-09-24 14:57:38.000,2015-09-24 14:57:47.000,MBTA
2015-09-24 14:57:56.000,2015-09-24 14:57:47.000,2015-09-24 14:57:56.000,Walking
2015-09-24 14:57:56.000,2015-09-24 14:57:47.000,2015-09-24 14:57:56.000,MBTA
2015-09-24 14:57:56.000,2015-09-24 14:57:47.000,2015-09-24 14:57:56.000,Stairs
2015-09-24 14:57:56.000,2015-09-24 14:57:47.000,2015-09-24 14:57:56.000,down
2015-09-24 14:58:04.000,2015-09-24 14:58:00.000,2015-09-24 14:58:04.000,Standing
2015-09-24 14:58:05.000,2015-09-24 14:58:04.000,2015-09-24 14:58:05.000,Standing
2015-09-24 14:58:10.000,2015-09-24 14:58:05.000,2015-09-24 14:58:10.000,Standing
2015-09-24 14:58:10.000,2015-09-24 14:58:05.000,2015-09-24 14:58:10.000,MBTA
2015-09-24 14:58:11.000,2015-09-24 14:58:10.000,2015-09-24 14:58:11.000,Outdoors
2015-09-24 14:58:11.000,2015-09-24 14:58:10.000,2015-09-24 14:58:11.000,Standing
2015-09-24 14:58:11.000,2015-09-24 14:58:10.000,2015-09-24 14:58:11.000,MBTA
2015-09-24 14:59:59.000,2015-09-24 14:58:11.000,2015-09-24 14:59:59.000,Standing
